DATE_TIME,current_contract,next_contract,carry_contract
10/18/1973 23:00,19731200,19741200,19730900
10/18/1974 23:00,19741200,19751200,19740900
10/20/1975 23:00,19751200,19761200,19750900
10/19/1976 23:00,19761200,19771200,19760900
10/19/1977 23:00,19771200,19781200,19770900
10/18/1978 23:00,19781200,19791200,19780900
10/18/1979 23:00,19791200,19801200,19790900
10/20/1980 23:00,19801200,19811200,19800900
10/20/1981 23:00,19811200,19821200,19810900
10/19/1982 23:00,19821200,19831200,19820900
10/19/1983 23:00,19831200,19841200,19830900
10/18/1984 23:00,19841200,19851200,19840900
10/18/1985 23:00,19851200,19861200,19850900
10/20/1986 23:00,19861200,19871200,19860900
10/20/1987 23:00,19871200,19881200,19870900
10/19/1988 23:00,19881200,19891200,19880900
10/18/1989 23:00,19891200,19901200,19890900
10/18/1990 23:00,19901200,19911200,19900900
10/18/1991 23:00,19911200,19921200,19910900
10/20/1992 23:00,19921200,19931200,19920900
10/19/1993 23:00,19931200,19941200,19930900
10/19/1994 23:00,19941200,19951200,19940900
10/18/1995 23:00,19951200,19961200,19950900
10/18/1996 23:00,19961200,19971200,19960900
10/20/1997 23:00,19971200,19981200,19970900
10/20/1998 23:00,19981200,19991200,19980900
10/19/1999 23:00,19991200,20001200,19990900
10/18/2000 23:00,20001200,20011200,20000900
10/18/2001 23:00,20011200,20021200,20010900
10/18/2002 23:00,20021200,20031200,20020900
10/20/2003 23:00,20031200,20041200,20030900
10/19/2004 23:00,20041200,20051200,20040900
10/19/2005 23:00,20051200,20061200,20050900
10/18/2006 23:00,20061200,20071200,20060900
10/18/2007 23:00,20071200,20081200,20070900
10/20/2008 23:00,20081200,20091200,20080900
10/20/2009 23:00,20091200,20101200,20090900
10/19/2010 23:00,20101200,20111200,20100900
10/19/2011 23:00,20111200,20121200,20110900
10/18/2012 23:00,20121200,20131200,20120900
10/18/2013 1:42,20131200,20141200,20130900
10/20/2014 16:11,20141200,20151200,20140900
10/20/2015 14:20,20151200,20161200,20150900
10/19/2016 14:31,20161200,20171200,20160900
10/17/2017 1:00,20171200,20181200,20170900
10/18/2018 1:00,20181200,20191200,20180900
10/18/2019 1:00,20191200,20201200,20190900
10/15/2020 16:00,20201200,20211200,20200900
10/29/2021 17:00,20211200,20221200,20210900
11/14/2022 18:00,20221200,20231200,20220900
8/22/2023 19:00,20231200,20241200,20230900
,,,
